lat,lng,duration,walkTime,walkDistance,transitTime,transfers
41.93579374,-87.76974302,3254,629,790.2083609,2502,1
41.91163019,-87.7688864,2930,698,879.5624361,2089,1
41.97834358,-87.76812148,2442,496,625.154188,1775,1
41.97063034,-87.76007922,2715,853,1018.344053,1620,0
41.98905647,-87.7848907,3121,914,1162.888782,1955,1
41.9336522,-87.79280478,3450,544,682.5806466,2736,1
41.9225725,-87.77611775,3412,654,828.9403985,2585,1
41.92996671,-87.77805348,3099,424,522.2757744,2505,1
41.93126182,-87.78144191,3064,353,434.512188,2541,1
41.97303643,-87.7827816,2936,508,634.1421278,2260,1
41.95825578,-87.78031764,3232,927,1176.812361,2019,1
41.93703561,-87.79535773,3535,467,579.9060226,2915,1
41.94965233,-87.77542969,3139,608,768.5466466,2245,1
41.93717224,-87.78619967,3429,519,636.8993007,2757,1
41.97937271,-87.79608886,2675,421,519.9484286,2086,1
41.97774532,-87.79601884,2753,499,618.2610902,2086,1
41.99656383,-87.80549723,3045,587,739.0778647,2206,1
41.99978365,-87.81257966,3162,597,752.4262932,2313,1
41.99266981,-87.80019503,2945,559,708.819188,2134,1
41.9339521,-87.77089458,3112,543,683.9539398,2399,1
41.92805456,-87.75260276,2930,704,884.2882331,2056,1
41.9127427,-87.75245997,3391,634,796.9655188,2551,1
41.90972495,-87.75630016,2627,490,612.2691128,1899,1
41.91203507,-87.75455297,2778,527,663.1008496,1953,1
41.94943416,-87.75580679,2983,834,1053.301158,1960,1
41.95804662,-87.76100021,2687,710,894.9112331,1832,1
41.95214185,-87.75588564,2712,563,705.9881504,1960,1
41.98153714,-87.7804749,2653,514,647.6165639,1887,1
41.91357026,-87.79522438,4009,765,962.9703609,3117,1
41.91193831,-87.77988065,3553,939,1199.526684,2114,1
41.91209446,-87.78380081,3313,659,841.154391,2154,1
41.91176797,-87.79334502,3821,615,775.2130226,3079,1
41.91179542,-87.79090431,3786,617,769.117609,3042,1
41.91954477,-87.75754425,3202,702,881.3957519,2300,1
41.91216892,-87.76156625,3015,783,991.7166842,2089,1
41.90667203,-87.76488331,2640,552,688.9036842,1945,1
41.93388256,-87.77575457,3190,545,682.4616466,2475,1
41.9277748,-87.77159446,3176,607,765.5553985,2399,1
41.96279273,-87.76889244,2826,688,862.8913158,1953,1
41.96484395,-87.76370919,2706,885,1124.60812,1655,1
41.95765023,-87.77417994,2879,629,794.5980226,2105,1
41.95341198,-87.76884499,2987,503,626.1906466,2295,1
41.95247917,-87.76544116,2948,559,693.9692331,2200,1
41.90509503,-87.73006338,2461,691,868.4165188,1581,1
41.90553537,-87.73067679,2574,748,933.2520902,1637,1
41.90908352,-87.7331681,2623,442,542.0768271,2054,1
41.95059738,-87.74098694,2411,669,845.0519173,1613,1
41.98717579,-87.73981856,4362,499,624.2155489,3574,1
41.9835658,-87.72936435,2837,539,667.6013684,2113,1
41.98391096,-87.73330932,3023,744,934.7633609,2152,1
41.95814434,-87.73373122,2402,863,1094.699316,1410,1
41.95995132,-87.73526983,2230,454,562.6740226,1634,1
41.97054838,-87.72536381,2656,627,780.0984887,1844,1
41.97090821,-87.73396471,2850,821,1038.562737,1844,1
41.97358037,-87.71886129,3126,727,898.8707444,2143,1
41.97403124,-87.71626525,2972,573,715.342609,2143,1
41.9508851,-87.73198709,2448,856,1061.278098,1350,0
41.94903881,-87.73345888,2381,804,1028.410023,1448,1
41.95637975,-87.72849573,2334,742,924.4960226,1350,0
41.96367276,-87.73498638,2485,657,827.6228195,1686,1
41.96257278,-87.73340544,2309,481,600.8221053,1686,1
41.97038075,-87.74760114,2964,770,970.1253383,1916,1
41.97440107,-87.74671285,2947,646,802.9876917,2060,1
41.95376196,-87.74114743,2172,430,536.823188,1613,1
41.95519546,-87.7375098,2236,556,702.1651955,1551,1
41.9544062,-87.73477962,2095,518,648.9530226,1448,1
41.95997157,-87.73905969,2378,636,779.5585789,1500,0
41.96173119,-87.73915354,2361,619,763.8593684,1500,0
41.96908215,-87.74221589,3043,760,952.3191203,2005,1
41.89446641,-87.72391616,2160,662,830.174188,1279,1
41.89809766,-87.7270859,2107,536,667.5854361,1352,1
41.89805522,-87.72955033,2272,731,920.004188,1352,1
41.9085971,-87.72862562,2577,652,811.1741429,1736,1
41.90959721,-87.72708187,2384,459,571.392594,1736,1
41.92836501,-87.66554032,1783,496,614.2886391,1041,1
41.92144347,-87.65772339,1551,565,707.7158045,864,1
41.92146334,-87.65651237,1727,735,935.2398045,750,0
41.94225316,-87.66540351,1752,446,555.1966767,1168,1
41.94808104,-87.67336314,2071,323,387.2291053,1492,1
41.8862208,-87.68288749,2119,640,816.5424737,1477,0
41.89055176,-87.68057122,1534,388,469.4952331,1000,1
41.91396882,-87.68792287,1526,534,644.9836541,750,0
41.91417792,-87.68612125,1564,572,693.5942857,750,0
41.90649961,-87.68188638,1699,827,1043.322992,630,0
41.93349692,-87.71692889,2166,784,983.1706917,1140,0
41.93212505,-87.71842053,1964,661,825.610782,1115,1
41.93943179,-87.71924251,2192,810,1024.169436,1140,0
41.93805071,-87.71945217,2200,818,1038.935233,1140,0
41.92024359,-87.71808376,2569,972,1247.110398,1364,1
41.9184115,-87.71803058,2333,634,787.2646165,1499,1
